,<S>,ADJ,ADV,CONJ,DET,EZ,N,NUM,PART,POST,PREP,PRON,Unknown,V
wēn,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2.726
kamānwarīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
āyišn,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hambišn,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
wistard,0.0,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
dādwarīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,5.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
čē ēwēnāg,0.0,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
handāzagīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
mēdyōšim,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
anār,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
awizīdārdahišnīh,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
areškēnīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
tīr,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,11.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
abesīhēnišn,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,4.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
warzišn,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,7.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
drōzīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
dēwāniz,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
har čiyōn,0.0,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
stūr,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
frazandzāyišnīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,4.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
artēštārīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,3.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
gand,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
wirāstagīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
widaštag,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hōyag,0.0,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
